날짜,BPU,쿠폰ID,쿠폰명,쿠폰유형,쿠폰할인
2025-01-01,e-영업1,CPN676906,네이버쇼핑 10% 할인(남성),일반,337291.0
2025-01-01,e-영업1,CPN703554,[제휴전용] 12% 할인(IE),일반,90982.0
2025-01-01,e-영업1,CPN1111988,[아듀세일] 네이버 10% 플러스쿠폰,플러스,80100.0
2025-01-01,e-영업1,NCPN0000781,(제휴 최저가 자동 쿠폰)7810원 할인,플러스,14200.0
2025-01-01,e-영업1,NCPN0000903,(제휴 최저가 자동 쿠폰)9030원 할인,플러스,8209.0
2025-01-01,e-영업1,NCPN0000967,(제휴 최저가 자동 쿠폰)9670원 할인,플러스,8791.0
2025-01-01,e-영업1,NCPN0001344,(제휴 최저가 자동 쿠폰)13440원 할인,플러스,24436.0
2025-01-01,e-영업1,NCPN0001477,(제휴 최저가 자동 쿠폰)14770원 할인,플러스,13427.0
2025-01-01,e-영업2,CPN1111988,[아듀세일] 네이버 10% 플러스쿠폰,플러스,132927.0
2025-01-01,e-영업2,CPN1111991,[아듀세일] 10% 플러스쿠폰,플러스,45455.0
2025-01-01,e-영업2,NCPN0001000,(제휴 최저가 자동 쿠폰)10000원 할인,플러스,18182.0
2025-01-01,e-영업2,NCPN0001348,(제휴 최저가 자동 쿠폰)13480원 할인,플러스,12255.0
2025-01-01,e-영업4,CPN1111988,[아듀세일] 네이버 10% 플러스쿠폰,플러스,13500.0
2025-01-02,e-영업1,CPN676906,네이버쇼핑 10% 할인(남성),일반,-13300.0
2025-01-02,e-영업1,CPN703554,[제휴전용] 12% 할인(IE),일반,-12800.0
2025-01-02,e-영업1,CPN413857,[제휴전용] 10%추가할인 (골프/스포츠),플러스,-53018.0
2025-01-02,e-영업1,CPN511518,네이버쇼핑 7% 추가할인(남성),플러스,-211418.0
2025-01-02,e-영업1,CPN1111988,[아듀세일] 네이버 10% 플러스쿠폰,플러스,-100427.0
2025-01-02,e-영업1,NCPN0001217,(제휴 최저가 자동 쿠폰)12170원 할인,플러스,22127.0
2025-01-02,e-영업1,NCPN0001403,(제휴 최저가 자동 쿠폰)14030원 할인,플러스,12755.0
2025-01-02,e-영업1,NCPN0002955,(제휴 최저가 자동 쿠폰)29550원 할인,플러스,-26864.0
2025-01-02,e-영업2,CPN383518,[제휴전용] 10%추가할인 (이월 ACC),플러스,443564.0
2025-01-02,e-영업2,CPN383905,[제휴전용] 8%추가할인 (이월 골프),플러스,27073.0
2025-01-02,e-영업2,CPN383907,[제휴할인] 5%추가할인 (이월 남성),플러스,-3773.0
2025-01-02,e-영업2,CPN384029,[제휴전용] 8%추가할인 (이월 슈즈),플러스,34345.0
2025-01-02,e-영업2,CPN384742,[제휴전용] 4%추가할인 (이월 여성),플러스,16509.0
2025-01-02,e-영업2,CPN409201,[제휴전용] 7%추가할인 (이월 여성),플러스,565264.0
2025-01-02,e-영업2,CPN409202,[제휴전용] 9%추가할인 (이월 여성),플러스,851282.0
2025-01-02,e-영업2,CPN409203,[제휴전용] 7%추가할인 (이월 남성),플러스,484691.0
2025-01-02,e-영업2,CPN409204,[제휴전용] 9%추가할인 (이월 남성),플러스,231727.0
2025-01-02,e-영업2,CPN514212,[제휴전용] 8% 추가할인 (이월 골프),플러스,3455.0
2025-01-02,e-영업2,CPN1111988,[아듀세일] 네이버 10% 플러스쿠폰,플러스,-100300.0
2025-01-02,e-영업2,CPN1111991,[아듀세일] 10% 플러스쿠폰,플러스,-34309.0
2025-01-02,e-영업3,CPN798781,네이버 5%추가할인 (키즈) -업체,플러스,-1773.0
2025-01-03,e-영업1,CPN676906,네이버쇼핑 10% 할인(남성),일반,-75145.0
2025-01-03,e-영업1,CPN703554,[제휴전용] 12% 할인(IE),일반,11518.0
2025-01-03,e-영업1,CPN413857,[제휴전용] 10%추가할인 (골프/스포츠),플러스,43527.0
2025-01-03,e-영업1,CPN1111988,[아듀세일] 네이버 10% 플러스쿠폰,플러스,-67155.0
2025-01-03,e-영업1,CPN1111991,[아듀세일] 10% 플러스쿠폰,플러스,-19573.0
2025-01-03,e-영업1,NCPN0000584,(제휴 최저가 자동 쿠폰)5840원 할인,플러스,5309.0
2025-01-03,e-영업1,NCPN0000781,(제휴 최저가 자동 쿠폰)7810원 할인,플러스,7100.0
2025-01-03,e-영업1,NCPN0003122,(제휴 최저가 자동 쿠폰)31220원 할인,플러스,-28382.0
2025-01-03,e-영업2,CPN383518,[제휴전용] 10%추가할인 (이월 ACC),플러스,1024936.0
2025-01-03,e-영업2,CPN383905,[제휴전용] 8%추가할인 (이월 골프),플러스,162918.0
2025-01-03,e-영업2,CPN383907,[제휴할인] 5%추가할인 (이월 남성),플러스,114127.0
2025-01-03,e-영업2,CPN384029,[제휴전용] 8%추가할인 (이월 슈즈),플러스,77600.0
2025-01-03,e-영업2,CPN384742,[제휴전용] 4%추가할인 (이월 여성),플러스,3682.0
2025-01-03,e-영업2,CPN409201,[제휴전용] 7%추가할인 (이월 여성),플러스,859664.0
2025-01-03,e-영업2,CPN409202,[제휴전용] 9%추가할인 (이월 여성),플러스,762973.0
2025-01-03,e-영업2,CPN409203,[제휴전용] 7%추가할인 (이월 남성),플러스,880000.0
2025-01-03,e-영업2,CPN409204,[제휴전용] 9%추가할인 (이월 남성),플러스,36391.0
2025-01-03,e-영업2,CPN514212,[제휴전용] 8% 추가할인 (이월 골프),플러스,5118.0
2025-01-03,e-영업2,CPN1111988,[아듀세일] 네이버 10% 플러스쿠폰,플러스,-103700.0
2025-01-03,e-영업3,CPN407983,네이버쇼핑 추가할인 (e-명품_대상: 입점업체),플러스,-121555.0
2025-01-04,e-영업1,CPN676906,네이버쇼핑 10% 할인(남성),일반,-38118.0
2025-01-04,e-영업1,CPN703554,[제휴전용] 12% 할인(IE),일반,198245.0
2025-01-04,e-영업1,CPN413857,[제휴전용] 10%추가할인 (골프/스포츠),플러스,35682.0
2025-01-04,e-영업1,CPN1111988,[아듀세일] 네이버 10% 플러스쿠폰,플러스,-45455.0
2025-01-04,e-영업1,NCPN0001264,(제휴 최저가 자동 쿠폰)12640원 할인,플러스,11491.0
2025-01-04,e-영업1,NCPN0001599,(제휴 최저가 자동 쿠폰)15990원 할인,플러스,14536.0
2025-01-04,e-영업2,CPN383518,[제휴전용] 10%추가할인 (이월 ACC),플러스,926955.0
2025-01-04,e-영업2,CPN383905,[제휴전용] 8%추가할인 (이월 골프),플러스,185745.0
2025-01-04,e-영업2,CPN383907,[제휴할인] 5%추가할인 (이월 남성),플러스,96964.0
2025-01-04,e-영업2,CPN384029,[제휴전용] 8%추가할인 (이월 슈즈),플러스,33555.0
2025-01-04,e-영업2,CPN409201,[제휴전용] 7%추가할인 (이월 여성),플러스,94236.0
2025-01-04,e-영업2,CPN409202,[제휴전용] 9%추가할인 (이월 여성),플러스,933100.0
2025-01-04,e-영업2,CPN409203,[제휴전용] 7%추가할인 (이월 남성),플러스,469318.0
2025-01-04,e-영업2,CPN409204,[제휴전용] 9%추가할인 (이월 남성),플러스,65027.0
2025-01-04,e-영업2,CPN514212,[제휴전용] 8% 추가할인 (이월 골프),플러스,21145.0
2025-01-04,e-영업2,CPN1111988,[아듀세일] 네이버 10% 플러스쿠폰,플러스,-142791.0
2025-01-04,e-영업2,CPN1111991,[아듀세일] 10% 플러스쿠폰,플러스,-34309.0
2025-01-05,e-영업1,CPN703554,[제휴전용] 12% 할인(IE),일반,196009.0
2025-01-05,e-영업1,CPN402093,[제휴전용] 8%추가할인 (골프/스포츠),플러스,47855.0
2025-01-05,e-영업1,CPN413857,[제휴전용] 10%추가할인 (골프/스포츠),플러스,12300.0
2025-01-05,e-영업1,NCPN0000781,(제휴 최저가 자동 쿠폰)7810원 할인,플러스,7100.0
2025-01-05,e-영업1,NCPN0001264,(제휴 최저가 자동 쿠폰)12640원 할인,플러스,11491.0
2025-01-05,e-영업1,NCPN0001265,(제휴 최저가 자동 쿠폰)12650원 할인,플러스,11500.0
2025-01-05,e-영업1,NCPN0001956,(제휴 최저가 자동 쿠폰)19560원 할인,플러스,17782.0
2025-01-05,e-영업1,NCPN0002594,(제휴 최저가 자동 쿠폰)25940원 할인,플러스,23582.0
2025-01-05,e-영업2,CPN383518,[제휴전용] 10%추가할인 (이월 ACC),플러스,1092855.0
2025-01-05,e-영업2,CPN383905,[제휴전용] 8%추가할인 (이월 골프),플러스,20964.0
2025-01-05,e-영업2,CPN383907,[제휴할인] 5%추가할인 (이월 남성),플러스,63964.0
2025-01-05,e-영업2,CPN384029,[제휴전용] 8%추가할인 (이월 슈즈),플러스,77927.0
2025-01-05,e-영업2,CPN409201,[제휴전용] 7%추가할인 (이월 여성),플러스,728536.0
2025-01-05,e-영업2,CPN409202,[제휴전용] 9%추가할인 (이월 여성),플러스,654582.0
2025-01-05,e-영업2,CPN409203,[제휴전용] 7%추가할인 (이월 남성),플러스,644955.0
2025-01-05,e-영업2,CPN409204,[제휴전용] 9%추가할인 (이월 남성),플러스,105309.0
2025-01-05,e-영업2,CPN514212,[제휴전용] 8% 추가할인 (이월 골프),플러스,19673.0
2025-01-06,e-영업1,CPN676906,네이버쇼핑 10% 할인(남성),일반,-239518.0
2025-01-06,e-영업1,CPN703554,[제휴전용] 12% 할인(IE),일반,138200.0
2025-01-06,e-영업1,CPN402093,[제휴전용] 8%추가할인 (골프/스포츠),플러스,116736.0
2025-01-06,e-영업1,CPN413857,[제휴전용] 10%추가할인 (골프/스포츠),플러스,11318.0
2025-01-06,e-영업1,CPN1111988,[아듀세일] 네이버 10% 플러스쿠폰,플러스,-82027.0
2025-01-06,e-영업1,NCPN0001243,(제휴 최저가 자동 쿠폰)12430원 할인,플러스,11300.0
2025-01-06,e-영업1,NCPN0001491,(제휴 최저가 자동 쿠폰)14910원 할인,플러스,13555.0
2025-01-06,e-영업2,CPN383518,[제휴전용] 10%추가할인 (이월 ACC),플러스,981345.0
2025-01-06,e-영업2,CPN383905,[제휴전용] 8%추가할인 (이월 골프),플러스,103236.0
2025-01-06,e-영업2,CPN383907,[제휴할인] 5%추가할인 (이월 남성),플러스,88900.0
2025-01-06,e-영업2,CPN384029,[제휴전용] 8%추가할인 (이월 슈즈),플러스,15873.0
2025-01-06,e-영업2,CPN384742,[제휴전용] 4%추가할인 (이월 여성),플러스,8973.0
2025-01-06,e-영업2,CPN409201,[제휴전용] 7%추가할인 (이월 여성),플러스,510555.0
2025-01-06,e-영업2,CPN409202,[제휴전용] 9%추가할인 (이월 여성),플러스,277118.0
2025-01-06,e-영업2,CPN409203,[제휴전용] 7%추가할인 (이월 남성),플러스,432791.0
2025-01-06,e-영업2,CPN409204,[제휴전용] 9%추가할인 (이월 남성),플러스,-49045.0
2025-01-06,e-영업2,CPN514212,[제휴전용] 8% 추가할인 (이월 골프),플러스,20518.0
2025-01-06,e-영업2,CPN1111988,[아듀세일] 네이버 10% 플러스쿠폰,플러스,-122664.0
2025-01-07,e-영업1,CPN676906,네이버쇼핑 10% 할인(남성),일반,-55882.0
2025-01-07,e-영업1,CPN703554,[제휴전용] 12% 할인(IE),일반,59182.0
2025-01-07,e-영업1,CPN413857,[제휴전용] 10%추가할인 (골프/스포츠),플러스,118955.0
2025-01-07,e-영업1,CPN511518,네이버쇼핑 7% 추가할인(남성),플러스,-96173.0
2025-01-07,e-영업1,CPN1111988,[아듀세일] 네이버 10% 플러스쿠폰,플러스,-72500.0
2025-01-07,e-영업1,CPN1131019, 네이버 5% 플러스 쿠폰 (최대 5만원 할인),플러스,3627.0
2025-01-07,e-영업1,CPN1131032, 5% 플러스 쿠폰 (최대 5만원 할인),플러스,2364.0
2025-01-07,e-영업1,CPN1131067, 8% 플러스 쿠폰 (8만원 이상/최대 5만원 할인),플러스,10109.0
2025-01-07,e-영업1,CPN1131069, 네이버 10% 플러스 쿠폰 (15만원이상/최대5만원할인),플러스,219518.0
2025-01-07,e-영업1,NCPN0000598,(제휴 최저가 자동 쿠폰)5980원 할인,플러스,5436.0
2025-01-07,e-영업1,NCPN0001599,(제휴 최저가 자동 쿠폰)15990원 할인,플러스,14536.0
2025-01-07,e-영업1,NCPN0002594,(제휴 최저가 자동 쿠폰)25940원 할인,플러스,23582.0
2025-01-07,e-영업1,NCPN0003634,(제휴 최저가 자동 쿠폰)36340원 할인,플러스,33036.0
2025-01-07,e-영업2,CPN383518,[제휴전용] 10%추가할인 (이월 ACC),플러스,871136.0
2025-01-07,e-영업2,CPN383905,[제휴전용] 8%추가할인 (이월 골프),플러스,76200.0
2025-01-07,e-영업2,CPN383907,[제휴할인] 5%추가할인 (이월 남성),플러스,76173.0
2025-01-07,e-영업2,CPN384029,[제휴전용] 8%추가할인 (이월 슈즈),플러스,-1118.0
2025-01-07,e-영업2,CPN384742,[제휴전용] 4%추가할인 (이월 여성),플러스,104755.0
2025-01-07,e-영업2,CPN409201,[제휴전용] 7%추가할인 (이월 여성),플러스,86927.0
2025-01-07,e-영업2,CPN409202,[제휴전용] 9%추가할인 (이월 여성),플러스,442418.0
2025-01-07,e-영업2,CPN409203,[제휴전용] 7%추가할인 (이월 남성),플러스,3236.0
2025-01-07,e-영업2,CPN409204,[제휴전용] 9%추가할인 (이월 남성),플러스,201727.0
2025-01-07,e-영업2,CPN514212,[제휴전용] 8% 추가할인 (이월 골프),플러스,14591.0
2025-01-07,e-영업2,CPN1111988,[아듀세일] 네이버 10% 플러스쿠폰,플러스,-112091.0
2025-01-07,e-영업2,CPN1111991,[아듀세일] 10% 플러스쿠폰,플러스,-45455.0
2025-01-07,e-영업2,CPN1131019, 네이버 5% 플러스 쿠폰 (최대 5만원 할인),플러스,5591.0
2025-01-07,e-영업2,CPN1131032, 5% 플러스 쿠폰 (최대 5만원 할인),플러스,4909.0
2025-01-07,e-영업2,CPN1131066, 네이버 8% 플러스 쿠폰 (8만원 이상/최대 5만원 할인),플러스,32564.0
2025-01-07,e-영업2,CPN1131067, 8% 플러스 쿠폰 (8만원 이상/최대 5만원 할인),플러스,8200.0
2025-01-07,e-영업2,CPN1131069, 네이버 10% 플러스 쿠폰 (15만원이상/최대5만원할인),플러스,366864.0
2025-01-07,e-영업2,CPN1131070, 10% 플러스 쿠폰 (15만원이상/최대5만원할인),플러스,15745.0
2025-01-07,e-영업3,CPN407983,네이버쇼핑 추가할인 (e-명품_대상: 입점업체),플러스,-100100.0
2025-01-07,e-영업3,CPN798781,네이버 5%추가할인 (키즈) -업체,플러스,-7073.0
2025-01-07,e-영업3,CPN1131019, 네이버 5% 플러스 쿠폰 (최대 5만원 할인),플러스,4055.0
2025-01-08,e-영업1,CPN676906,네이버쇼핑 10% 할인(남성),일반,-46400.0
2025-01-08,e-영업1,CPN703554,[제휴전용] 12% 할인(IE),일반,253327.0
2025-01-08,e-영업1,CPN413857,[제휴전용] 10%추가할인 (골프/스포츠),플러스,83136.0
2025-01-08,e-영업1,CPN1131019, 네이버 5% 플러스 쿠폰 (최대 5만원 할인),플러스,18109.0
2025-01-08,e-영업1,CPN1131066, 네이버 8% 플러스 쿠폰 (8만원 이상/최대 5만원 할인),플러스,25673.0
2025-01-08,e-영업1,CPN1131069, 네이버 10% 플러스 쿠폰 (15만원이상/최대5만원할인),플러스,261009.0
2025-01-08,e-영업1,CPN1131070, 10% 플러스 쿠폰 (15만원이상/최대5만원할인),플러스,17673.0
2025-01-08,e-영업1,NCPN0000793,(제휴 최저가 자동 쿠폰)7930원 할인,플러스,7209.0
2025-01-08,e-영업1,NCPN0001265,(제휴 최저가 자동 쿠폰)12650원 할인,플러스,23000.0
2025-01-08,e-영업2,CPN383518,[제휴전용] 10%추가할인 (이월 ACC),플러스,1015382.0
2025-01-08,e-영업2,CPN383905,[제휴전용] 8%추가할인 (이월 골프),플러스,-48027.0
2025-01-08,e-영업2,CPN383907,[제휴할인] 5%추가할인 (이월 남성),플러스,196782.0
2025-01-08,e-영업2,CPN384029,[제휴전용] 8%추가할인 (이월 슈즈),플러스,5291.0
2025-01-08,e-영업2,CPN384742,[제휴전용] 4%추가할인 (이월 여성),플러스,-16936.0
2025-01-08,e-영업2,CPN409201,[제휴전용] 7%추가할인 (이월 여성),플러스,149982.0
2025-01-08,e-영업2,CPN409202,[제휴전용] 9%추가할인 (이월 여성),플러스,75209.0
2025-01-08,e-영업2,CPN409203,[제휴전용] 7%추가할인 (이월 남성),플러스,14682.0
2025-01-08,e-영업2,CPN409204,[제휴전용] 9%추가할인 (이월 남성),플러스,134400.0
2025-01-08,e-영업2,CPN514212,[제휴전용] 8% 추가할인 (이월 골프),플러스,1727.0
2025-01-08,e-영업2,CPN1052666,[블랙프라이데이]  네이버쇼핑 10% 플러스 쿠폰,플러스,-21909.0
2025-01-08,e-영업2,CPN1111988,[아듀세일] 네이버 10% 플러스쿠폰,플러스,-27555.0
2025-01-08,e-영업2,CPN1131019, 네이버 5% 플러스 쿠폰 (최대 5만원 할인),플러스,21718.0
2025-01-08,e-영업2,CPN1131066, 네이버 8% 플러스 쿠폰 (8만원 이상/최대 5만원 할인),플러스,27100.0
2025-01-08,e-영업2,CPN1131067, 8% 플러스 쿠폰 (8만원 이상/최대 5만원 할인),플러스,-1564.0
2025-01-08,e-영업2,CPN1131069, 네이버 10% 플러스 쿠폰 (15만원이상/최대5만원할인),플러스,463264.0
2025-01-08,e-영업2,CPN1131070, 10% 플러스 쿠폰 (15만원이상/최대5만원할인),플러스,126682.0
2025-01-08,e-영업3,CPN1131019, 네이버 5% 플러스 쿠폰 (최대 5만원 할인),플러스,3864.0
2025-01-09,e-영업1,CPN703554,[제휴전용] 12% 할인(IE),일반,69336.0
2025-01-09,e-영업1,CPN413857,[제휴전용] 10%추가할인 (골프/스포츠),플러스,87000.0
2025-01-09,e-영업1,CPN1111988,[아듀세일] 네이버 10% 플러스쿠폰,플러스,-24264.0
2025-01-09,e-영업1,CPN1131019, 네이버 5% 플러스 쿠폰 (최대 5만원 할인),플러스,6155.0
2025-01-09,e-영업1,CPN1131066, 네이버 8% 플러스 쿠폰 (8만원 이상/최대 5만원 할인),플러스,6345.0
2025-01-09,e-영업1,CPN1131069, 네이버 10% 플러스 쿠폰 (15만원이상/최대5만원할인),플러스,51673.0
2025-01-09,e-영업1,NCPN0000781,(제휴 최저가 자동 쿠폰)7810원 할인,플러스,7100.0
2025-01-09,e-영업1,NCPN0000827,(제휴 최저가 자동 쿠폰)8270원 할인,플러스,7518.0
2025-01-09,e-영업2,CPN383518,[제휴전용] 10%추가할인 (이월 ACC),플러스,560791.0
2025-01-09,e-영업2,CPN383905,[제휴전용] 8%추가할인 (이월 골프),플러스,-45600.0
2025-01-09,e-영업2,CPN383907,[제휴할인] 5%추가할인 (이월 남성),플러스,189309.0
2025-01-09,e-영업2,CPN384029,[제휴전용] 8%추가할인 (이월 슈즈),플러스,20309.0
2025-01-09,e-영업2,CPN409201,[제휴전용] 7%추가할인 (이월 여성),플러스,286482.0
2025-01-09,e-영업2,CPN409202,[제휴전용] 9%추가할인 (이월 여성),플러스,285418.0
2025-01-09,e-영업2,CPN409203,[제휴전용] 7%추가할인 (이월 남성),플러스,292709.0
2025-01-09,e-영업2,CPN409204,[제휴전용] 9%추가할인 (이월 남성),플러스,242555.0
2025-01-09,e-영업2,CPN514212,[제휴전용] 8% 추가할인 (이월 골프),플러스,-9491.0
2025-01-09,e-영업2,CPN1111988,[아듀세일] 네이버 10% 플러스쿠폰,플러스,-120800.0
2025-01-09,e-영업2,CPN1131019, 네이버 5% 플러스 쿠폰 (최대 5만원 할인),플러스,-3164.0
2025-01-09,e-영업2,CPN1131066, 네이버 8% 플러스 쿠폰 (8만원 이상/최대 5만원 할인),플러스,6455.0
2025-01-09,e-영업2,CPN1131069, 네이버 10% 플러스 쿠폰 (15만원이상/최대5만원할인),플러스,-25973.0
2025-01-09,e-영업2,CPN1131070, 10% 플러스 쿠폰 (15만원이상/최대5만원할인),플러스,-45455.0
2025-01-09,e-영업3,CPN407983,네이버쇼핑 추가할인 (e-명품_대상: 입점업체),플러스,-43900.0
2025-01-10,e-영업1,CPN676906,네이버쇼핑 10% 할인(남성),일반,-63491.0
2025-01-10,e-영업1,CPN703554,[제휴전용] 12% 할인(IE),일반,38845.0
2025-01-10,e-영업1,CPN413857,[제휴전용] 10%추가할인 (골프/스포츠),플러스,107618.0
2025-01-10,e-영업1,CPN1131019, 네이버 5% 플러스 쿠폰 (최대 5만원 할인),플러스,-4545.0
2025-01-10,e-영업1,CPN1131069, 네이버 10% 플러스 쿠폰 (15만원이상/최대5만원할인),플러스,-14491.0
2025-01-10,e-영업1,CPN1135141,[WEEKEND SALE] 네이버 플러스 7% 쿠폰,플러스,181373.0
2025-01-10,e-영업1,NCPN0000679,(제휴 최저가 자동 쿠폰)6790원 할인,플러스,6173.0
2025-01-10,e-영업1,NCPN0000781,(제휴 최저가 자동 쿠폰)7810원 할인,플러스,7100.0
2025-01-10,e-영업1,NCPN0001063,(제휴 최저가 자동 쿠폰)10630원 할인,플러스,19327.0
2025-01-10,e-영업1,NCPN0001265,(제휴 최저가 자동 쿠폰)12650원 할인,플러스,-11500.0
2025-01-10,e-영업1,NCPN0002181,(제휴 최저가 자동 쿠폰)21810원 할인,플러스,19827.0
2025-01-10,e-영업1,NCPN0003678,(제휴 최저가 자동 쿠폰)36780원 할인,플러스,33436.0
2025-01-10,e-영업2,CPN383518,[제휴전용] 10%추가할인 (이월 ACC),플러스,608445.0
2025-01-10,e-영업2,CPN383905,[제휴전용] 8%추가할인 (이월 골프),플러스,-44073.0
2025-01-10,e-영업2,CPN383907,[제휴할인] 5%추가할인 (이월 남성),플러스,158173.0
2025-01-10,e-영업2,CPN384029,[제휴전용] 8%추가할인 (이월 슈즈),플러스,22100.0
2025-01-10,e-영업2,CPN384742,[제휴전용] 4%추가할인 (이월 여성),플러스,211091.0
2025-01-10,e-영업2,CPN409201,[제휴전용] 7%추가할인 (이월 여성),플러스,16391.0
2025-01-10,e-영업2,CPN409202,[제휴전용] 9%추가할인 (이월 여성),플러스,980482.0
2025-01-10,e-영업2,CPN409203,[제휴전용] 7%추가할인 (이월 남성),플러스,356436.0
2025-01-10,e-영업2,CPN409204,[제휴전용] 9%추가할인 (이월 남성),플러스,144791.0
2025-01-10,e-영업2,CPN514212,[제휴전용] 8% 추가할인 (이월 골프),플러스,5382.0
2025-01-10,e-영업2,CPN1111988,[아듀세일] 네이버 10% 플러스쿠폰,플러스,-22209.0
2025-01-10,e-영업2,CPN1131019, 네이버 5% 플러스 쿠폰 (최대 5만원 할인),플러스,-9136.0
2025-01-10,e-영업2,CPN1131069, 네이버 10% 플러스 쿠폰 (15만원이상/최대5만원할인),플러스,-14236.0
2025-01-10,e-영업2,CPN1135141,[WEEKEND SALE] 네이버 플러스 7% 쿠폰,플러스,51773.0
2025-01-10,e-영업3,CPN1135141,[WEEKEND SALE] 네이버 플러스 7% 쿠폰,플러스,18718.0
2025-01-11,e-영업1,CPN703554,[제휴전용] 12% 할인(IE),일반,19300.0
2025-01-11,e-영업1,CPN402093,[제휴전용] 8%추가할인 (골프/스포츠),플러스,-67545.0
2025-01-11,e-영업1,CPN413857,[제휴전용] 10%추가할인 (골프/스포츠),플러스,50164.0
2025-01-11,e-영업1,CPN1131019, 네이버 5% 플러스 쿠폰 (최대 5만원 할인),플러스,-2909.0
2025-01-11,e-영업1,CPN1131032, 5% 플러스 쿠폰 (최대 5만원 할인),플러스,-2364.0
2025-01-11,e-영업1,CPN1131069, 네이버 10% 플러스 쿠폰 (15만원이상/최대5만원할인),플러스,-25464.0
2025-01-11,e-영업1,CPN1135141,[WEEKEND SALE] 네이버 플러스 7% 쿠폰,플러스,190436.0
2025-01-11,e-영업1,CPN1135178,[WEEKEND SALE] 플러스 7% 쿠폰,플러스,9745.0
2025-01-11,e-영업1,NCPN0000793,(제휴 최저가 자동 쿠폰)7930원 할인,플러스,7209.0
2025-01-11,e-영업1,NCPN0003634,(제휴 최저가 자동 쿠폰)36340원 할인,플러스,-33036.0
2025-01-11,e-영업2,CPN383518,[제휴전용] 10%추가할인 (이월 ACC),플러스,619227.0
2025-01-11,e-영업2,CPN383905,[제휴전용] 8%추가할인 (이월 골프),플러스,7091.0
2025-01-11,e-영업2,CPN383907,[제휴할인] 5%추가할인 (이월 남성),플러스,160327.0
2025-01-11,e-영업2,CPN384029,[제휴전용] 8%추가할인 (이월 슈즈),플러스,67955.0
2025-01-11,e-영업2,CPN384742,[제휴전용] 4%추가할인 (이월 여성),플러스,17955.0
2025-01-11,e-영업2,CPN409201,[제휴전용] 7%추가할인 (이월 여성),플러스,299673.0
2025-01-11,e-영업2,CPN409202,[제휴전용] 9%추가할인 (이월 여성),플러스,1016555.0
2025-01-11,e-영업2,CPN409203,[제휴전용] 7%추가할인 (이월 남성),플러스,379745.0
2025-01-11,e-영업2,CPN409204,[제휴전용] 9%추가할인 (이월 남성),플러스,267291.0
2025-01-11,e-영업2,CPN514212,[제휴전용] 8% 추가할인 (이월 골프),플러스,26918.0
2025-01-11,e-영업2,CPN1131069, 네이버 10% 플러스 쿠폰 (15만원이상/최대5만원할인),플러스,-118773.0
2025-01-11,e-영업2,CPN1135141,[WEEKEND SALE] 네이버 플러스 7% 쿠폰,플러스,56100.0
2025-01-11,e-영업2,CPN1135178,[WEEKEND SALE] 플러스 7% 쿠폰,플러스,63491.0
2025-01-11,e-영업3,CPN1135141,[WEEKEND SALE] 네이버 플러스 7% 쿠폰,플러스,19264.0
2025-01-12,e-영업1,CPN703554,[제휴전용] 12% 할인(IE),일반,203964.0
2025-01-12,e-영업1,CPN413857,[제휴전용] 10%추가할인 (골프/스포츠),플러스,101400.0
2025-01-12,e-영업1,CPN1135141,[WEEKEND SALE] 네이버 플러스 7% 쿠폰,플러스,181682.0
2025-01-12,e-영업2,CPN383518,[제휴전용] 10%추가할인 (이월 ACC),플러스,926982.0
2025-01-12,e-영업2,CPN383905,[제휴전용] 8%추가할인 (이월 골프),플러스,63000.0
2025-01-12,e-영업2,CPN383907,[제휴할인] 5%추가할인 (이월 남성),플러스,387627.0
2025-01-12,e-영업2,CPN384029,[제휴전용] 8%추가할인 (이월 슈즈),플러스,71618.0
2025-01-12,e-영업2,CPN384742,[제휴전용] 4%추가할인 (이월 여성),플러스,93327.0
2025-01-12,e-영업2,CPN409201,[제휴전용] 7%추가할인 (이월 여성),플러스,317927.0
2025-01-12,e-영업2,CPN409202,[제휴전용] 9%추가할인 (이월 여성),플러스,551891.0
2025-01-12,e-영업2,CPN409203,[제휴전용] 7%추가할인 (이월 남성),플러스,324927.0
2025-01-12,e-영업2,CPN409204,[제휴전용] 9%추가할인 (이월 남성),플러스,149218.0
2025-01-12,e-영업2,CPN514212,[제휴전용] 8% 추가할인 (이월 골프),플러스,691.0
2025-01-12,e-영업2,CPN1135141,[WEEKEND SALE] 네이버 플러스 7% 쿠폰,플러스,289555.0
2025-01-12,e-영업2,CPN1135178,[WEEKEND SALE] 플러스 7% 쿠폰,플러스,9636.0
2025-01-12,e-영업3,CPN1135141,[WEEKEND SALE] 네이버 플러스 7% 쿠폰,플러스,19191.0
2025-01-12,e-영업3,CPN1135178,[WEEKEND SALE] 플러스 7% 쿠폰,플러스,2282.0
2025-01-13,e-영업1,CPN676906,네이버쇼핑 10% 할인(남성),일반,-44482.0
2025-01-13,e-영업1,CPN703554,[제휴전용] 12% 할인(IE),일반,-2809.0
2025-01-13,e-영업1,CPN413857,[제휴전용] 10%추가할인 (골프/스포츠),플러스,61227.0
2025-01-13,e-영업1,CPN1111988,[아듀세일] 네이버 10% 플러스쿠폰,플러스,-13836.0
2025-01-13,e-영업1,CPN1131069, 네이버 10% 플러스 쿠폰 (15만원이상/최대5만원할인),플러스,-29445.0
2025-01-13,e-영업1,CPN1135141,[WEEKEND SALE] 네이버 플러스 7% 쿠폰,플러스,20018.0
